[main] INFO  | log4j.Main                                                   | info (Main.java:19)
[main] ERROR | log4j.Main                                                   | erreur (Main.java:20)
[main] INFO  | log4j.Main                                                   | info 2 (Main.java:22)
[main] ERROR | log4j.Main                                                   | erreur 2 (Main.java:23)
[main] ERROR | log4j.Main                                                   | Connection réussi pour Nicolas - Papon (Main.java:27)
[main] ERROR | log4j.Main                                                   | java.lang.ArithmeticException: / by zero (Main.java:32)
[main] INFO  | log4j.Main                                                   | info (Main.java:19)
[main] ERROR | log4j.Main                                                   | erreur (Main.java:20)
[main] INFO  | log4j.Main                                                   | info 2 (Main.java:22)
[main] ERROR | log4j.Main                                                   | erreur 2 (Main.java:23)
[main] ERROR | log4j.Main                                                   | Connection réussi pour Nicolas - Papon (Main.java:27)
[main] ERROR | log4j.Main                                                   | java.lang.ArithmeticException: / by zero (Main.java:32)
[main] ERROR | log4j.Main                                                   | erreur (Main.java:20)
[main] ERROR | log4j.Main                                                   | erreur 2 (Main.java:23)
[main] ERROR | log4j.Main                                                   | Connection réussi pour Nicolas - Papon (Main.java:27)
[main] ERROR | log4j.Main                                                   | java.lang.ArithmeticException: / by zero (Main.java:32)
[main] INFO  | log4j.Main                                                   | info (Main2.java:18)
[main] ERROR | log4j.Main                                                   | erreur (Main2.java:19)
[main] INFO  | log4j.Main                                                   | info 2 (Main2.java:21)
[main] ERROR | log4j.Main                                                   | erreur 2 (Main2.java:22)
[main] ERROR | log4j.Main                                                   | Connection réussi pour Nicolas - Papon (Main2.java:26)
[main] ERROR | log4j.Main                                                   | java.lang.ArithmeticException: / by zero (Main2.java:31)
[main] INFO  | log4j.Main                                                   | info (Main2.java:18)
[main] ERROR | log4j.Main                                                   | erreur (Main2.java:19)
[main] INFO  | log4j.Main                                                   | info 2 (Main2.java:21)
[main] ERROR | log4j.Main                                                   | erreur 2 (Main2.java:22)
[main] ERROR | log4j.Main                                                   | Connection réussi pour Nicolas - Papon (Main2.java:26)
[main] ERROR | log4j.Main                                                   | java.lang.ArithmeticException: / by zero (Main2.java:31)
[main] INFO  | log4j.Main                                                   | info (Main.java:19)
[main] ERROR | log4j.Main                                                   | erreur (Main.java:20)
[main] INFO  | log4j.Main                                                   | info 2 (Main.java:22)
[main] ERROR | log4j.Main                                                   | erreur 2 (Main.java:23)
[main] ERROR | log4j.Main                                                   | Connection réussi pour Nicolas - Papon (Main.java:27)
[main] ERROR | log4j.Main                                                   | java.lang.ArithmeticException: / by zero (Main.java:32)
[main] INFO  | log4j.Main                                                   | info (Main2.java:18)
[main] ERROR | log4j.Main                                                   | erreur (Main2.java:19)
[main] INFO  | log4j.Main                                                   | info 2 (Main2.java:21)
[main] ERROR | log4j.Main                                                   | erreur 2 (Main2.java:22)
[main] ERROR | log4j.Main                                                   | Connection réussi pour Nicolas - Papon (Main2.java:26)
[main] ERROR | log4j.Main                                                   | java.lang.ArithmeticException: / by zero (Main2.java:31)
[main] INFO  | log4j.Main                                                   | info (Main.java:19)
[main] ERROR | log4j.Main                                                   | erreur (Main.java:20)
[main] INFO  | log4j.Main                                                   | info 2 (Main.java:22)
[main] ERROR | log4j.Main                                                   | erreur 2 (Main.java:23)
[main] ERROR | log4j.Main                                                   | Connection réussi pour Nicolas - Papon (Main.java:27)
[main] ERROR | log4j.Main                                                   | java.lang.ArithmeticException: / by zero (Main.java:32)
[main] INFO  | log4j.Main                                                   | info (Main.java:19)
[main] ERROR | log4j.Main                                                   | erreur (Main.java:20)
[main] INFO  | log4j.Main                                                   | info 2 (Main.java:22)
[main] ERROR | log4j.Main                                                   | erreur 2 (Main.java:23)
[main] ERROR | log4j.Main                                                   | Connection réussi pour Nicolas - Papon (Main.java:27)
[main] ERROR | log4j.Main                                                   | java.lang.ArithmeticException: / by zero (Main.java:32)
[main] ERROR | log4j.Main                                                   | erreur (Main2.java:19)
[main] ERROR | log4j.Main                                                   | erreur 2 (Main2.java:22)
[main] ERROR | log4j.Main                                                   | Connection réussi pour Nicolas - Papon (Main2.java:26)
[main] ERROR | log4j.Main                                                   | java.lang.ArithmeticException: / by zero (Main2.java:31)
[main] ERROR | log4j.Main                                                   | erreur (Main.java:20)
[main] ERROR | log4j.Main                                                   | erreur 2 (Main.java:23)
[main] ERROR | log4j.Main                                                   | Connection réussi pour Nicolas - Papon (Main.java:27)
[main] ERROR | log4j.Main                                                   | java.lang.ArithmeticException: / by zero (Main.java:32)
[main] ERROR | log4j.Main                                                   | erreur (Main2.java:19)
[main] ERROR | log4j.Main                                                   | erreur 2 (Main2.java:22)
[main] ERROR | log4j.Main                                                   | Connection réussi pour Nicolas - Papon (Main2.java:26)
[main] ERROR | log4j.Main                                                   | java.lang.ArithmeticException: / by zero (Main2.java:31)
[main] ERROR | log4j.Main2                                                  | erreur (Main2.java:19)
[main] ERROR | log4j.Main2                                                  | erreur 2 (Main2.java:22)
[main] ERROR | log4j.Main2                                                  | Connection réussi pour Nicolas - Papon (Main2.java:26)
[main] ERROR | log4j.Main2                                                  | java.lang.ArithmeticException: / by zero (Main2.java:31)
[main] ERROR | log4j.Main                                                   | erreur (Main.java:20)
[main] ERROR | log4j.Main                                                   | erreur 2 (Main.java:23)
[main] ERROR | log4j.Main                                                   | Connection réussi pour Nicolas - Papon (Main.java:27)
[main] ERROR | log4j.Main                                                   | java.lang.ArithmeticException: / by zero (Main.java:32)
[main] ERROR | log4j.Main                                                   | erreur (Main.java:20)
[main] ERROR | log4j.Main                                                   | erreur 2 (Main.java:23)
[main] ERROR | log4j.Main                                                   | Connection réussi pour Nicolas - Papon (Main.java:27)
[main] ERROR | log4j.Main                                                   | java.lang.ArithmeticException: / by zero (Main.java:32)
[main] ERROR | log4j.Main                                                   | erreur (Main.java:20)
[main] ERROR | log4j.Main                                                   | erreur 2 (Main.java:23)
[main] ERROR | log4j.Main                                                   | Connection réussi pour Nicolas - Papon (Main.java:27)
[main] ERROR | log4j.Main                                                   | java.lang.ArithmeticException: / by zero (Main.java:32)
[main] ERROR | log4j.Main                                                   | erreur (Main.java:20)
[main] ERROR | log4j.Main                                                   | erreur 2 (Main.java:23)
[main] ERROR | log4j.Main                                                   | Connection réussi pour Nicolas - Papon (Main.java:27)
[main] ERROR | log4j.Main                                                   | java.lang.ArithmeticException: / by zero (Main.java:32)
[main] ERROR | log4j.Main                                                   | erreur (Main.java:20)
[main] ERROR | log4j.Main                                                   | erreur 2 (Main.java:23)
[main] ERROR | log4j.Main                                                   | Connection réussi pour Nicolas - Papon (Main.java:27)
[main] ERROR | log4j.Main                                                   | java.lang.ArithmeticException: / by zero (Main.java:32)
[main] INFO  | log4j.Main                                                   | info (Main.java:19)
[main] ERROR | log4j.Main                                                   | erreur (Main.java:20)
[main] INFO  | log4j.Main                                                   | info 2 (Main.java:22)
[main] ERROR | log4j.Main                                                   | erreur 2 (Main.java:23)
[main] ERROR | log4j.Main                                                   | Connection réussi pour Nicolas - Papon (Main.java:27)
[main] ERROR | log4j.Main                                                   | java.lang.ArithmeticException: / by zero (Main.java:32)
[main] ERROR | log4j.Main                                                   | erreur (Main.java:20)
[main] ERROR | log4j.Main                                                   | erreur 2 (Main.java:23)
[main] ERROR | log4j.Main                                                   | Connection réussi pour Nicolas - Papon (Main.java:27)
[main] ERROR | log4j.Main                                                   | java.lang.ArithmeticException: / by zero (Main.java:32)
[main] INFO  | log4j.Main2                                                  | info (Main2.java:18)
[main] ERROR | log4j.Main2                                                  | erreur (Main2.java:19)
[main] INFO  | log4j.Main2                                                  | info 2 (Main2.java:21)
[main] ERROR | log4j.Main2                                                  | erreur 2 (Main2.java:22)
[main] ERROR | log4j.Main2                                                  | Connection réussi pour Nicolas - Papon (Main2.java:26)
[main] ERROR | log4j.Main2                                                  | java.lang.ArithmeticException: / by zero (Main2.java:31)
[main] ERROR | log4j.Main                                                   | erreur (Main.java:20)
[main] ERROR | log4j.Main                                                   | erreur 2 (Main.java:23)
[main] ERROR | log4j.Main                                                   | Connection réussi pour Nicolas - Papon (Main.java:27)
[main] ERROR | log4j.Main                                                   | java.lang.ArithmeticException: / by zero (Main.java:32)
[main] INFO  | log4j.Main2                                                  | info (Main2.java:18)
[main] ERROR | log4j.Main2                                                  | erreur (Main2.java:19)
[main] INFO  | log4j.Main2                                                  | info 2 (Main2.java:21)
[main] ERROR | log4j.Main2                                                  | erreur 2 (Main2.java:22)
[main] ERROR | log4j.Main2                                                  | Connection réussi pour Nicolas - Papon (Main2.java:26)
[main] ERROR | log4j.Main2                                                  | java.lang.ArithmeticException: / by zero (Main2.java:31)
